ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
LEAD,2023-12-22,Energy,Oil & Gas,55.00,61.00,54.00,57.00,27931900,1605,-275923712,-96203296
LFLO,2023-12-22,Consumer Cyclicals,Household Goods,65.00,66.00,59.00,59.00,1402000,2614,11422600,0
LIFE,2023-12-22,Financials,Insurance,6025.00,6025.00,6025.00,6025.00,10100,3,0,60250000
LINK,2023-12-22,Infrastructures,Telecommunication Service,1340.00,1340.00,1300.00,1300.00,3100,8,-1707500,-797500
LION,2023-12-22,Industrials,Commercial Services,600.00,600.00,565.00,575.00,53900,37,-24315500,2224500
LMAS,2023-12-22,Technology,IT Services & Consulting,50.00,50.00,50.00,50.00,0,0,0,0
LMAX,2023-12-22,Consumer Cyclicals,Auto Components,133.00,142.00,133.00,141.00,741100,168,34895300,0
LMPI,2023-12-22,Consumer Cyclicals,Household Goods,113.00,116.00,110.00,115.00,78800,22,-8394700,0
LMSH,2023-12-22,Basic Materials,Metals & Minerals,440.00,440.00,440.00,440.00,0,0,0,0
LOPI,2023-12-22,Transportation & Logistic,Logistics & Deliveries,66.00,69.00,64.00,66.00,282100,73,-14663400,0
LPCK,2023-12-22,Properties & Real Estate,Real Estate Management & Development,710.00,725.00,710.00,720.00,82800,29,-26505500,33624000
LPGI,2023-12-22,Financials,Insurance,4000.00,4000.00,3890.00,3990.00,500,5,-368000,0
LPIN,2023-12-22,Consumer Cyclicals,Auto Components,364.00,364.00,350.00,362.00,32400,33,-2747600,0
LPKR,2023-12-22,Properties & Real Estate,Real Estate Management & Development,85.00,85.00,81.00,84.00,13690400,962,76603400,572259008
LPLI,2023-12-22,Properties & Real Estate,Real Estate Management & Development,238.00,238.00,230.00,230.00,32200,19,-6766200,-495600
LPPF,2023-12-22,Consumer Cyclicals,Department Stores,1620.00,1920.00,1620.00,1775.00,16066200,7210,-2801171456,378727008
LPPS,2023-12-22,Financials,Holding & Investment Companies,64.00,66.00,63.00,66.00,132300,25,-2616000,-46400
LRNA,2023-12-22,Transportation & Logistic,Passenger Land Transportation,190.00,190.00,186.00,188.00,70200,23,5354600,0
LSIP,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,880.00,885.00,870.00,880.00,4043200,980,-1927684992,-411884992
LTLS,2023-12-22,Basic Materials,Chemicals,1340.00,1340.00,1305.00,1330.00,669900,134,-413146496,119716496
LUCK,2023-12-22,Technology,Computer Hardware,78.00,78.00,72.00,74.00,803400,329,17278000,0
LUCY,2023-12-22,Consumer Cyclicals,Tourism & Recreation,135.00,143.00,134.00,139.00,62700,63,1798900,0
MABA,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
MAGP,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,50.00,50.00,50.00,50.00,0,0,0,0
MAHA,2023-12-22,Energy,Coal,194.00,197.00,193.00,195.00,7140500,596,-272255392,-89692000
MAIN,2023-12-22,Consumer Non-Cyclicals,Agricultural Products,540.00,545.00,530.00,540.00,1327300,142,164104000,22948000
MAMI,2023-12-22,Consumer Cyclicals,Tourism & Recreation,50.00,50.00,50.00,50.00,0,0,0,0
MAMIP,2023-12-22,Consumer Cyclicals,Tourism & Recreation,600.00,600.00,600.00,600.00,0,0,0,0
MAPA,2023-12-22,Consumer Cyclicals,Specialty Retail,800.00,810.00,790.00,800.00,12016800,525,-2846052608,3931292416
MAPB,2023-12-22,Consumer Cyclicals,Tourism & Recreation,1990.00,1990.00,1990.00,1990.00,1200,4,-796000,-1194000
MAPI,2023-12-22,Consumer Cyclicals,Specialty Retail,1720.00,1785.00,1720.00,1765.00,15206000,3130,7417754624,13166145536
MARI,2023-12-22,Consumer Cyclicals,Media,50.00,51.00,50.00,50.00,17759700,408,256669104,-48010000
MARK,2023-12-22,Industrials,Machinery,615.00,640.00,615.00,630.00,26528100,1018,-10743223296,2871061504
MASA,2023-12-22,Consumer Cyclicals,Auto Components,4050.00,4150.00,3990.00,4010.00,8000,25,-12729000,-13633000
MASB,2023-12-22,Financials,Banks,3530.00,3530.00,3520.00,3520.00,16300,4,-18696000,0
MAXI,2023-12-22,Consumer Non-Cyclicals,Processed Foods,50.00,50.00,50.00,50.00,1956000,54,70350000,0
MAYA,2023-12-22,Financials,Banks,406.00,406.00,400.00,404.00,473100,72,-90049400,4546200
MBAP,2023-12-22,Energy,Coal,4240.00,4280.00,4220.00,4220.00,20100,61,-24887000,-23740000
MBMA,2023-12-22,Basic Materials,Metals & Minerals,545.00,560.00,535.00,545.00,42249700,2427,-185766000,-623134528
MBSS,2023-12-22,Energy,Coal,1205.00,1220.00,1200.00,1205.00,3600,11,-3358000,0
